inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,tor_send_rate,latency,gswitch_inbuffer_size,num_gswitches,use_multicast,json,in_network_computation,fwd_pass_time,worker_send_rate,worker_inbuffer_size,step_num,num_ps,striping,worker_recv_rate,num_workers,worker_receive_time,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,latency_distribution,model_name,optimal_param_distribution
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,1,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,24,4,1,10,16,"[0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521]",10.321930431924002,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,1,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,24,8,1,10,16,"[0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209]",9.713592380728999,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,1,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,24,1,1,10,32,"[0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213, 0.6595177248005213]",21.701700640673312,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,1,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,24,2,1,10,32,"[0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521, 0.659512188800521]",21.700330000673205,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,1,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,24,4,1,10,32,"[0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521, 0.659508985600521]",19.98233987883306,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,1,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,24,8,1,10,32,"[0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209, 0.6595089280005209]",18.75251410906148,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,1,1,10,2,"[1.317014652798263, 1.317020239998263]",2.573794745587909,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,2,1,10,2,"[1.3169255711982641, 1.316937561598264]",2.57367345278791,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,4,1,10,2,"[1.2095513759991499, 1.2095633663991496]",2.4136356991892383,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,8,1,10,2,"[1.1318669471997906, 1.1318789375997904]",2.3102157855900916,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,1,1,10,4,"[2.6320164927874106, 2.6320196959874105, 2.6320252703874116, 2.6320261023874103]",3.888799775977059,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,2,1,10,4,"[2.631851129587411, 2.631851132787411, 2.631851135987411, 2.631863116787412]",3.888612118377058,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,4,1,10,4,"[2.4171027391891835, 2.4171027423891833, 2.417102745589183, 2.417114726389184]",3.6211734399792728,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,8,1,10,4,"[2.2617338815904664, 2.261733884790466, 2.261733887990466, 2.261745868790467]",3.440069615980768,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,1,1,10,8,"[5.262026579165731, 5.262029782365731, 5.262032985565732, 5.262036188765732, 5.2620393919657324, 5.262042595165733, 5.262045798365733, 5.2620490015657335]",6.466110790355821,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,2,1,10,8,"[5.261702252765729, 5.261702255965729, 5.261702259165729, 5.26170226236573, 5.26170226556573, 5.26170226876573, 5.261702275165731, 5.261714227165727]",6.465772969555822,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,4,1,10,8,"[4.832205471969266, 4.832205475169267, 4.832205481569267, 4.8322054847692675, 4.832205487969268, 4.832205491169268, 4.832205494369268, 4.832217446369264]",6.036276188759359,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,8,1,10,8,"[4.521467756771825, 4.521467759971825, 4.521467766371826, 4.521467769571826, 4.521467772771826, 4.521467775971827, 4.521467779171827, 4.521479731171823]",5.6998034975621295,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,1,1,10,16,"[10.522046751922295, 10.522049955122295, 10.522053158322295, 10.522056361522296, 10.522059564722296, 10.522062767922296, 10.522065971122297, 10.522069174322297, 10.522072377522298, 10.522075580722298, 10.522078783922298, 10.522081987122299, 10.522085190322299, 10.5220883935223, 10.5220915967223, 10.5220947999223]",11.726163289512387,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,2,1,10,16,"[10.521404499122319, 10.52140450552232, 10.52140450872232, 10.52140451192232, 10.52140451512232, 10.52140451832232, 10.52140452152232, 10.521404524722321, 10.521404527922321, 10.521404531122322, 10.521404534322322, 10.521404537522322, 10.521404540722322, 10.521404543922323, 10.521404547122323, 10.521416447922315]",11.725487142312403,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,4,1,10,16,"[9.662410937529408, 9.662410940729409, 9.662410943929409, 9.662410947129409, 9.66241095032941, 9.66241095352941, 9.66241095992941, 9.66241096312941, 9.66241096632941, 9.662410969529411, 9.662410972729411, 9.662410975929411, 9.662410979129412, 9.662410982329412, 9.662410985529412, 9.662422886329404]",10.866483318319501,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,8,1,10,16,"[9.040935507134533, 9.040935510334533, 9.040935513534533, 9.040935516734534, 9.040935519934534, 9.040935523134534, 9.040935526334534, 9.040935529534535, 9.040935532734535, 9.040935535934535, 9.040935542334536, 9.040935545534536, 9.040935548734536, 9.040935551934536, 9.040935555134537, 9.040947455934528]",10.219296294324828,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,1,1,10,32,"[21.04208709818159, 21.042090301381588, 21.042093504581587, 21.042096707781585, 21.042099910981584, 21.042103114181582, 21.04210631738158, 21.04210952058158, 21.042112723781578, 21.042115926981577, 21.042119130181575, 21.042122333381574, 21.042125536581572, 21.04212873978157, 21.04213194298157, 21.042135146181568, 21.042138349381567, 21.042141552581565, 21.042144755781564, 21.042147958981563, 21.04215116218156, 21.04215436538156, 21.04215756858156, 21.042160771781557, 21.042163974981555, 21.042167178181554, 21.042170381381553, 21.04217358458155, 21.04217678778155, 21.04217999098155, 21.042183194181547, 21.042186397381546]",22.298861603956958,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,2,1,10,32,"[21.040808992581464, 21.040808995781465, 21.040808998981465, 21.040809002181465, 21.040809005381465, 21.040809008581466, 21.040809011781466, 21.040809014981466, 21.040809018181466, 21.040809021381467, 21.040809027781467, 21.040809030981467, 21.040809034181468, 21.040809037381468, 21.04080904058147, 21.04080904378147, 21.04080904698147, 21.04080905018147, 21.04080905338147, 21.04080905658147, 21.04080905978147, 21.04080906298147, 21.04080906618147, 21.04080906938147, 21.04080907258147, 21.04080907578147, 21.04080907898147, 21.04080908218147, 21.040809085381472, 21.040809088581472, 21.040809091781473, 21.040820890181458]",22.297569987956834,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,4,1,10,32,"[19.322821869141325, 19.322821872341326, 19.322821875541326, 19.322821878741326, 19.322821881941326, 19.322821885141327, 19.322821888341327, 19.322821891541327, 19.322821894741327, 19.322821897941328, 19.322821901141328, 19.32282190434133, 19.32282190754133, 19.32282191074133, 19.32282191394133, 19.32282192034133, 19.32282192354133, 19.32282192674133, 19.32282192994133, 19.32282193314133, 19.32282193634133, 19.32282193954133, 19.32282194274133, 19.32282194594133, 19.322821949141332, 19.322821952341332, 19.322821955541333, 19.322821958741333, 19.322821961941333, 19.322821965141333, 19.322821968341334, 19.32283376674132]",20.526906099709187,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10,-1,24,8,1,10,32,"[18.079871008167544, 18.079871011367544, 18.079871014567544, 18.079871017767545, 18.079871020967545, 18.079871024167545, 18.079871027367545, 18.079871030567546, 18.079871033767546, 18.079871036967546, 18.079871040167546, 18.079871043367547, 18.079871046567547, 18.079871049767547, 18.079871052967547, 18.079871056167548, 18.079871059367548, 18.07987106576755, 18.07987106896755, 18.07987107216755, 18.07987107536755, 18.07987107856755, 18.07987108176755, 18.07987108496755, 18.07987108816755, 18.07987109136755, 18.07987109456755, 18.07987109776755, 18.07987110096755, 18.07987110416755, 18.079871107367552, 18.079882905767537]",19.258221571531834,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,1,1,10,2,"[1.317014652798263, 1.317020239998263]",2.634037884787413,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,2,1,10,2,"[1.3169255711982641, 1.316937561598264]",2.6338792447874138,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,4,1,10,2,"[1.2095513727991498, 1.2095633663991496]",2.4191308639891846,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,8,1,10,2,"[1.1318669471997906, 1.1318789375997904]",2.330584255989915,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,1,1,10,4,"[2.6320164927874106, 2.6320228991874104, 2.6320252703874116, 2.6320261023874103]",5.264045363165709,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,2,1,10,4,"[2.631851129587411, 2.631851132787411, 2.631851135987411, 2.631863116787412]",5.263717065565712,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,4,1,10,4,"[2.4171027391891835, 2.4171027423891833, 2.417102748789183, 2.417114726389184]",4.849568364769137,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,8,1,10,4,"[2.2617338815904664, 2.261733884790466, 2.261733891190466, 2.261745868790467]",4.5366031039717125,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,1,1,10,8,"[5.262026579165731, 5.262029782365731, 5.262032985565732, 5.262036188765732, 5.2620393919657324, 5.262042595165733, 5.262045798365733, 5.2620490015657335]",10.524080303922382,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,2,1,10,8,"[5.261702252765729, 5.261702255965729, 5.261702259165729, 5.26170226236573, 5.26170226556573, 5.26170226876573, 5.261702275165731, 5.261714227165727]",10.52341571512236,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,4,1,10,8,"[4.832205471969266, 4.832205475169267, 4.832205478369267, 4.8322054847692675, 4.832205487969268, 4.832205491169268, 4.832205494369268, 4.832217446369264]",9.664422201529439,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,8,1,10,8,"[4.521467756771825, 4.521467759971825, 4.521467763171826, 4.521467766371826, 4.521467769571826, 4.521467775971827, 4.521467779171827, 4.521479731171823]",9.056095766334439,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,1,1,10,16,"[10.522046751922295, 10.522049955122295, 10.522053158322295, 10.522056361522296, 10.522059564722296, 10.522062767922296, 10.522065971122297, 10.522069174322297, 10.522072377522298, 10.522075580722298, 10.522078783922298, 10.522081987122299, 10.522085190322299, 10.5220883935223, 10.5220915967223, 10.5220947999223]",21.04414621818168,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,2,1,10,16,"[10.521404499122319, 10.52140450232232, 10.52140450552232, 10.52140450872232, 10.52140451192232, 10.52140451512232, 10.52140451832232, 10.52140452152232, 10.521404524722321, 10.521404531122322, 10.521404534322322, 10.521404537522322, 10.521404540722322, 10.521404543922323, 10.521404547122323, 10.521416447922315]",21.042819414981572,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,4,1,10,16,"[9.662410940729409, 9.662410943929409, 9.662410947129409, 9.66241095032941, 9.66241095352941, 9.66241095672941, 9.66241095992941, 9.66241096312941, 9.66241096632941, 9.662410969529411, 9.662410972729411, 9.662410975929411, 9.662410979129412, 9.662410982329412, 9.662410985529412, 9.662422886329404]",19.324832397141446,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,8,1,10,16,"[9.040935507134533, 9.040935510334533, 9.040935513534533, 9.040935516734534, 9.040935519934534, 9.040935523134534, 9.040935526334534, 9.040935529534535, 9.040935535934535, 9.040935539134535, 9.040935542334536, 9.040935545534536, 9.040935548734536, 9.040935551934536, 9.040935555134537, 9.040947455934528]",18.09503206736971,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,1,1,10,32,"[21.04208709818159, 21.042093504581587, 21.042095696581576, 21.042096707781585, 21.042099910981584, 21.042103114181582, 21.04210631738158, 21.04210952058158, 21.042112723781578, 21.042115926981577, 21.042119130181575, 21.042122333381574, 21.042125536581572, 21.04212873978157, 21.04213194298157, 21.042135146181568, 21.042138349381567, 21.042141552581565, 21.042144755781564, 21.042147958981563, 21.04215116218156, 21.04215436538156, 21.04215756858156, 21.042160771781557, 21.042163974981555, 21.042167178181554, 21.042170381381553, 21.04217358458155, 21.04217678778155, 21.04217999098155, 21.042183194181547, 21.042186397381546]",42.08427861173784,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,2,1,10,32,"[21.040808992581464, 21.040808995781465, 21.040808998981465, 21.040809002181465, 21.040809005381465, 21.040809008581466, 21.040809011781466, 21.040809014981466, 21.040809018181466, 21.040809021381467, 21.040809024581467, 21.040809027781467, 21.040809030981467, 21.040809034181468, 21.040809037381468, 21.04080904058147, 21.04080904378147, 21.04080904698147, 21.04080905018147, 21.04080905338147, 21.04080905658147, 21.04080905978147, 21.04080906298147, 21.04080906618147, 21.04080906938147, 21.04080907578147, 21.04080907898147, 21.04080908218147, 21.040809085381472, 21.040809088581472, 21.040809091781473, 21.040820890181458]",42.081626806938516,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
0,25.0,distribution_csv/vgg16/,-1,25.0,0.001,-1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10,-1,25,4,1,10,32,"[19.322821869141325, 19.322821872341326, 19.322821875541326, 19.322821878741326, 19.322821881941326, 19.322821885141327, 19.322821888341327, 19.322821891541327, 19.322821894741327, 19.322821897941328, 19.322821901141328, 19.32282190754133, 19.32282191074133, 19.32282191394133, 19.32282191714133, 19.32282192034133, 19.32282192354133, 19.32282192674133, 19.32282192994133, 19.32282193314133, 19.32282193634133, 19.32282193954133, 19.32282194274133, 19.32282194594133, 19.322821949141332, 19.322821952341332, 19.322821955541333, 19.322821958741333, 19.322821961941333, 19.322821965141333, 19.322821968341334, 19.32283376674132]",38.645652769075504,120000.0,0.0002,10,1,,1,1,25.0,25.0,-1,0.0,csv/vgg16/,3000.0,10,none,vgg16,0
